time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
0,-18.707933166,-1106.865638848,63.355177824,20521.6535433071,14.0465547153196,6.9115419518971,321.516419538132,-0.218569861558347,-0.0164776618346691,-0.0181201478507321,-0.0390206358478729,-1.62755359742872
0.05,-18.707933166,-1106.865638848,63.355177824,20521.6535433071,14.0465547153196,6.9115419518971,321.525914978973,-0.218773912364887,-0.016405594155938,-0.0173531574655159,-0.0390206358478729,-1.62736184983242
0.1,-18.707933166,-1106.865638848,63.355177824,20521.6535433071,14.0465547153196,6.9115419518971,321.532245272867,-0.218686462019227,-0.0163095039176299,-0.0161067980895397,-0.0390206358478729,-1.62717010223611
0.15,-18.707933166,-1106.865638848,63.355177824,20521.6535433071,14.0647288624102,6.91753005231996,321.532245272867,-0.218628161788787,-0.0162974926378413,-0.0153398077043235,-0.0389247620497208,-1.62697835463981
0.2,-18.915397603,-1106.969623744,60.474005944,20521.6535433071,14.0647288624102,6.91753005231996,321.532245272867,-0.218773912364887,-0.0163455377569954,-0.0143810697228033,-0.0386371406552648,-1.6265948594472
0.25,-18.915397603,-1106.969623744,60.474005944,20505.5774278215,14.0647288624102,6.91753005231996,321.532245272867,-0.218773912364887,-0.0163335264772069,-0.0139017007320432,-0.0382536454626567,-1.62621136425459
0.3,-18.915397603,-1106.969623744,60.474005944,20505.5774278215,14.0647288624102,6.91753005231996,321.532245272867,-0.218890512825767,-0.0164176054357266,-0.013230584144979,-0.0375825288755925,-1.62544437386938
0.35,-18.915397603,-1106.969623744,60.474005944,20505.5774278215,14.0647288624102,6.91753005231996,321.52908012592,-0.218803062480107,-0.0164896731144577,-0.0126553413560669,-0.0371031598848324,-1.62496500487862
0.4,-18.959676236,-1107.005994048,59.649136908,20505.5774278215,14.0647288624102,6.91753005231996,321.52908012592,-0.218715612134447,-0.0165377182336118,-0.0116007295763946,-0.0361444219033122,-1.62438976208971
0.45,-18.959676236,-1107.005994048,59.649136908,20490.1574803149,14.0796129267904,6.92318090052876,321.525914978973,-0.218365810751807,-0.0166698423112855,-0.0103543702004184,-0.0355691791144001,-1.6240062668971
0.5,-18.959676236,-1107.005994048,59.649136908,20490.1574803149,14.0796129267904,6.92318090052876,321.516419538132,-0.218482411212687,-0.0166458197517084,-0.00814927284292185,-0.0347063149310319,-1.62371864550264
0.55,-18.959676236,-1107.005994048,59.649136908,20490.1574803149,14.0796129267904,6.92318090052876,321.516419538132,-0.218569861558347,-0.0166458197517084,-0.00642354447618546,-0.0344186935365758,-1.62362277170449
0.6,-19.115235947,-1107.127553856,56.245595774,20490.1574803149,14.0796129267904,6.92318090052876,321.513254391185,-0.218773912364887,-0.0166458197517084,-0.00354733053162481,-0.0341310721421198,-1.62362277170449
0.65,-19.115235947,-1107.127553856,56.245595774,20490.1574803149,14.0796129267904,6.92318090052876,321.516419538132,-0.218744762249667,-0.0166578310314969,-0.00172572836673639,-0.0340351983439677,-1.62381451930079
0.7,-19.115235947,-1107.127553856,56.245595774,20490.1574803149,14.0796129267904,6.92318090052876,321.516419538132,-0.218890512825767,-0.0166698423112855,0.000958737981520218,-0.0341310721421198,-1.62391039309895
0.75,-19.115235947,-1107.127553856,56.245595774,20475.7217847769,14.087129903917,6.92808979386665,321.516419538132,-0.219007113286647,-0.0166097859123429,0.00268446634825661,-0.0342269459402718,-1.6241980144934
0.8,-19.218122411,-1107.150865024,54.601441398,20475.7217847769,14.087129903917,6.92808979386665,321.516419538132,-0.219182013977967,-0.0165737520729773,0.00517718510020918,-0.0340351983439677,-1.62438976208971
0.85,-19.218122411,-1107.150865024,54.601441398,20475.7217847769,14.087129903917,6.92808979386665,321.522749832026,-0.219269464323627,-0.0165497295134002,0.0066152920724895,-0.0337475769495117,-1.62467738348416
0.9,-19.218122411,-1107.150865024,54.601441398,20475.7217847769,14.087129903917,6.92808979386665,321.522749832026,-0.219182013977967,-0.0164896731144577,0.00776577765031377,-0.0332682079587516,-1.62496500487862
0.95,-19.218122411,-1107.150865024,54.601441398,20461.9422572178,14.087129903917,6.92808979386665,321.525914978973,-0.218977963171427,-0.0165016843942462,0.00901213702629005,-0.0323094699772313,-1.62506087867677
1,-19.146567957,-1107.23715296,52.260350988,20461.9422572178,14.087129903917,6.92808979386665,321.525914978973,-0.218773912364887,-0.0165136956740347,0.0100667488059623,-0.0310631106012551,-1.62515675247492
1.05,-19.146567957,-1107.23715296,52.260350988,20461.9422572178,14.0964605485058,6.93290125878714,321.519584685079,-0.218628161788787,-0.0165136956740347,0.0105461177967224,-0.0301043726197348,-1.62515675247492
1.1,-19.146567957,-1107.23715296,52.260350988,20461.9422572178,14.0964605485058,6.93290125878714,321.516419538132,-0.218511561327907,-0.0165617407931888,0.0111213605856345,-0.0286662656474545,-1.62506087867677
1.15,-19.146567957,-1107.23715296,52.260350988,20461.9422572178,14.0964605485058,6.93290125878714,321.503758950344,-0.218278360406148,-0.0165497295134002,0.0114089819800906,-0.0276116538677823,-1.62486913108047
1.2,-19.017437359,-1107.271570496,50.606863754,20461.9422572178,14.0964605485058,6.93290125878714,321.494263509503,-0.218074309599608,-0.0165617407931888,0.0120800985671547,-0.026461168289958,-1.62467738348416
1.25,-19.017437359,-1107.271570496,50.606863754,20448.4908136483,14.0964605485058,6.93290125878714,321.478437774768,-0.217870258793068,-0.0165857633527658,0.0125594675579149,-0.0255024303084378,-1.62458150968601
1.3,-19.017437359,-1107.271570496,50.606863754,20448.4908136483,14.0964605485058,6.93290125878714,321.468942333927,-0.217724508216968,-0.0165977746325544,0.0134223317412831,-0.0246395661250696,-1.62438976208971
1.35,-19.017437359,-1107.271570496,50.606863754,20448.4908136483,14.0929231475051,6.93766775674576,321.456281746139,-0.217928559023508,-0.0165617407931888,0.0139975745301952,-0.0239684495380054,-1.62438976208971
1.4,-18.819650947,-1107.291098176,47.548714646,20448.4908136483,14.0929231475051,6.93766775674576,321.453116599192,-0.218103459714828,-0.0165857633527658,0.0151480601080194,-0.0234890805472453,-1.62429388829155
1.45,-18.819650947,-1107.291098176,47.548714646,20436.0236220472,14.0929231475051,6.93766775674576,321.443621158352,-0.217957709138728,-0.0165016843942462,0.0158191766950836,-0.0230097115564852,-1.62429388829155
1.5,-18.819650947,-1107.291098176,47.548714646,20436.0236220472,14.0929231475051,6.93766775674576,321.440456011405,-0.218045159484388,-0.0165257069538233,0.0167779146766038,-0.0227220901620292,-1.6241980144934
1.55,-18.819650947,-1107.291098176,47.548714646,20436.0236220472,14.0929231475051,6.93766775674576,321.434125717511,-0.218045159484388,-0.0165497295134002,0.0171614098692119,-0.0223385949694211,-1.6241980144934
1.6,-18.71022538,-1107.295369856,45.202990226,20436.0236220472,14.0929231475051,6.93766775674576,321.427795423617,-0.218074309599608,-0.0165617407931888,0.017449031263668,-0.022050973574965,-1.6241980144934
1.65,-18.71022538,-1107.295369856,45.202990226,20423.8845144357,14.0900227784642,6.94228436483147,321.42463027667,-0.218278360406148,-0.0165497295134002,0.01754490506182,-0.0216674783823569,-1.6241980144934
1.7,-18.71022538,-1107.295369856,45.202990226,20423.8845144357,14.0900227784642,6.94228436483147,321.427795423617,-0.218365810751807,-0.0165617407931888,0.017736652658124,-0.0209963617952928,-1.62410214069525
