time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
0,42.070109602,-1086.691836736,-4.276800295,19534.7769028871,14.0008308095876,7.17052916880909,317.587878950541,-0.209509302948689,-7.51583312620929e-05,-0.0453483065259063,0.0110254867874825,-1.5816300481139
0.05,42.070109602,-1086.691836736,-4.276800295,19534.7769028871,14.0008308095876,7.17052916880909,317.587878950541,-0.209362916457036,-0.000135995082244544,-0.0460194231129705,0.0122718461634588,-1.58153417431575
0.1,42.070109602,-1086.691836736,-4.276800295,19534.7769028871,14.0008308095876,7.17052916880909,317.581513897939,-0.209128698070391,-0.00014816243244109,-0.0462111707092745,0.013230584144979,-1.58153417431575
0.15,42.070109602,-1086.691836736,-4.276800295,19534.7769028871,14.0008308095876,7.17052916880909,317.575148845338,-0.208865202385415,-0.00014816243244109,-0.0458276755166664,0.0145728173191073,-1.5816300481139
0.2,41.900333206,-1086.604572416,-4.070994948,19544.9475065617,13.9915001649988,7.16924761039569,317.565601266436,-0.208601706700439,-8.73256814585832e-05,-0.0454441803240583,0.0153398077043235,-1.58182179571021
0.25,41.900333206,-1086.604572416,-4.070994948,19544.9475065617,13.9915001649988,7.16924761039569,317.556053687534,-0.208484597507116,-5.08236308690568e-05,-0.0447730637369942,0.0160109242913876,-1.58210941710466
0.3,41.900333206,-1086.604572416,-4.070994948,19544.9475065617,13.9915001649988,7.16924761039569,317.543323582331,-0.208396765612124,-7.51583312620929e-05,-0.0444854423425381,0.0161067980895397,-1.58220529090282
0.35,41.900333206,-1086.604572416,-4.070994948,19544.9475065617,13.9915001649988,7.16924761039569,317.533776003429,-0.208601706700439,-6.29909810656026e-05,-0.0444854423425381,0.0159150504932356,-1.58230116470097
0.4,41.532938214,-1086.388547456,-4.447244141,19544.9475065617,13.9915001649988,7.16924761039569,317.524228424527,-0.208601706700439,-6.29909810656026e-05,-0.0443895685443861,0.0156274290987796,-1.58239703849912
0.45,41.532938214,-1086.388547456,-4.447244141,19544.9475065617,13.9915001649988,7.16924761039569,317.514680845625,-0.208718815893762,-3.86562806725665e-05,-0.0443895685443861,0.0148604387135634,-1.58239703849912
0.5,41.532938214,-1086.388547456,-4.447244141,19549.2125984252,13.9906158147486,7.1687080068532,317.505133266723,-0.208806647788754,-2.64889304761318e-05,-0.0446771899388421,0.0142851959246512,-1.58249291229727
0.55,41.532938214,-1086.388547456,-4.447244141,19549.2125984252,13.9906158147486,7.1687080068532,317.495585687821,-0.209070143473729,-3.86562806725665e-05,-0.0449648113332982,0.013326457943131,-1.58239703849912
0.6,41.293007102,-1086.189243072,-4.724481894,19549.2125984252,13.9906158147486,7.1687080068532,317.482855582618,-0.209275084562044,3.43478205064307e-05,-0.0453483065259063,0.0126553413560669,-1.58230116470097
0.65,41.293007102,-1086.189243072,-4.724481894,19549.2125984252,13.9906158147486,7.1687080068532,317.476490530017,-0.209275084562044,-6.29909810656026e-05,-0.0456359279203624,0.0118883509708507,-1.58220529090282
0.7,41.293007102,-1086.189243072,-4.724481894,19553.4776902887,13.9906158147486,7.1687080068532,317.466942951115,-0.209480025650359,-8.73256814585832e-05,-0.0459235493148184,0.0114089819800906,-1.58210941710466
0.75,41.293007102,-1086.189243072,-4.724481894,19553.4776902887,13.9906158147486,7.1687080068532,317.460577898514,-0.209567857545351,-0.000111660381851619,-0.0461152969111225,0.0108337391911785,-1.58191766950836
0.8,41.293007102,-1086.189243072,-4.724481894,19553.4776902887,13.9786321194092,7.1687080068532,317.447847793311,-0.209684966738673,-0.000135995082244544,-0.0459235493148184,0.0105461177967224,-1.58182179571021
0.85,40.930963152,-1085.852390592,-4.627787459,19553.4776902887,13.9786321194092,7.1687080068532,317.44466526701,-0.209714244037004,-0.000123827732048054,-0.0459235493148184,0.0103543702004184,-1.58182179571021
0.9,40.930963152,-1085.852390592,-4.627787459,19553.4776902887,13.9786321194092,7.1687080068532,317.438300214409,-0.209655689440343,-0.000111660381851619,-0.0458276755166664,0.0102584964022663,-1.58182179571021
0.95,40.930963152,-1085.852390592,-4.627787459,19553.4776902887,13.9786321194092,7.1687080068532,317.425570109206,-0.20953858024702,-0.00014816243244109,-0.0456359279203624,0.0103543702004184,-1.58182179571021
1,40.930963152,-1085.852390592,-4.627787459,19557.4146981627,13.9786321194092,7.1687080068532,317.419205056605,-0.209567857545351,-0.000123827732048054,-0.0454441803240583,0.0103543702004184,-1.58182179571021
1.05,40.684475774,-1085.569727424,-4.203037535,19557.4146981627,13.9786321194092,7.1687080068532,317.412840004004,-0.209450748352028,-0.00016032978263758,-0.0450606851314502,0.0106419915948744,-1.58191766950836
1.1,40.684475774,-1085.569727424,-4.203037535,19557.4146981627,13.964827262114,7.16782365660302,317.3969273725,-0.209450748352028,-0.00014816243244109,-0.0446771899388421,0.0108337391911785,-1.58191766950836
1.15,40.684475774,-1085.569727424,-4.203037535,19557.4146981627,13.964827262114,7.16782365660302,317.390562319899,-0.209421471053697,-0.000172497132834071,-0.0444854423425381,0.0111213605856345,-1.58191766950836
1.2,40.684475774,-1085.569727424,-4.203037535,19561.0236220472,13.964827262114,7.16782365660302,317.377832214696,-0.209245807263713,-0.00014816243244109,-0.044197820948082,0.0113131081819386,-1.58201354330651
1.25,40.360171354,-1084.930073856,-3.819343414,19561.0236220472,13.964827262114,7.16782365660302,317.371467162095,-0.209216529965383,-0.00016032978263758,-0.0436225781591699,0.0116007295763946,-1.58201354330651
